Titles,Genre,Runtime,Rating,Votes
Gisaengchung,Comedy,132,8.6,533.468
Black Panther,Action,134,7.3,620.825
Snowpiercer,Action,126,7.1,316.522
Kol,Crime,112,7.1,12.303
Dark Waters,Biography,126,7.6,57.151
Avengers: Age of Ultron,Action,141,7.3,736.654
Oldeuboi,Action,120,8.4,512.172
Ah-ga-ssi,Drama,145,8.1,111.543
Cloud Atlas,Action,172,7.4,343.91
Salinui chueok,Action,131,8.1,137.097
Train to Busan 2,Action,116,5.4,18.429
Lucy,Action,89,6.4,444.18
Busanhaeng,Action,118,7.6,163.626
Training Day,Crime,122,7.7,388.073
Collateral,Crime,120,7.5,358.687
Olympus Has Fallen,Action,119,6.5,256.16
Falling Down,Action,113,7.6,170.628
#Saraitda,Action,98,6.2,23.263
Crash,Crime,112,7.7,418.476
Colossal,Comedy,109,6.2,58.651
Die Another Day,Action,133,6.1,204.395
Okja,Action,120,7.3,103.725
Beoning,Drama,148,7.5,48.331
Pineapple Express,Action,111,6.9,315.158
Ang-ma-reul bo-at-da,Action,144,7.8,110.271
Outbreak,Action,127,6.6,119.301
Yes Man,Comedy,104,6.8,334.399
Gi-eok-ui bam,Horror,108,7.4,17.953
Do the Right Thing,Comedy,120,8,88.746
Downsizing,Drama,135,5.7,98.51
Gokseong,Horror,156,7.5,50.882
Gwoemul,Action,120,7.1,106.476
RED 2,Action,116,6.6,159.511
The Interview,Action,112,6.5,305.504
Money Monster,Crime,98,6.5,93.952
Salt,Action,100,6.4,294.486
The Pacifier,Action,95,5.6,87.601
Liu lang di qiu,Action,125,6,26.533
Madeo,Crime,129,7.8,51.963
Greta,Drama,98,6,25.106
MASH,Comedy,116,7.4,67.275
The VelociPastor,Action,75,5.1,3.398
Crank,Action,88,6.9,233.609
Manyeo,Action,125,7.1,6.164
Red Dawn,Action,93,5.4,73.198
Starsky & Hutch,Comedy,101,6.1,138.014
Team America: World Police,Action,98,7.2,159.064
Hoo-goong: Je-wang-eui cheob,Drama,122,6.1,1.581
Domangchin yeoja,Drama,77,6.7,953
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,Drama,103,8,77.163
Ajeossi,Action,119,7.8,62.442
Sanyangeui sigan,Action,134,6.3,3.347
Chinjeolhan geumjassi,Crime,115,7.6,71.629
The Kentucky Fried Movie,Comedy,83,6.5,17.062
Geom-gaek,Action,100,6.5,390
7-beon-bang-ui seon-mul,Comedy,127,8.2,16.488
Chugyeokja,Action,125,7.8,57.974
What Happened to Mr Cha?,Comedy,102,4.9,78
Bin-jip,Crime,88,8,50.259
Bakjwi,Drama,134,7.1,42.455
Stir of Echoes,Horror,99,7,75.105
"Janghwa, Hongryeon",Drama,114,7.2,56.369
Akinjeon,Action,109,6.9,7.52
Playing It Cool,Comedy,94,6,25.845
Taxi,Action,86,7,76.6
Deep Rising,Action,106,6.1,33.284
Boksuneun naui geot,Crime,129,7.6,62.319
Harsh Times,Action,116,6.9,62.972
Dalkomhan insaeng,Action,119,7.6,36.232
Gamgi,Action,122,6.7,11.194
Jipuragirado japgo sipeun jimseungdeul,Crime,108,7.1,1.952
Taeksi woonjunsa,Action,137,7.9,15.827
Sin-gwa ham-kke: Jwi-wa beol,Action,139,7.3,11.917
Namsanui bujangdeul,Drama,114,7,1.629
Rollerball,Action,98,3.1,25.673
Ayla: The Daughter of War,Biography,125,8.4,33.681
Columbus,Drama,104,7.2,14.33
Daman akeseo goohasoseo,Action,108,6.8,970
Baekdusan,Action,130,6.2,2.885
Stealth,Action,121,5.1,51.764
Svaha: The Sixth Finger,Horror,122,6.2,2.765
Pan-dola,Action,136,6.7,5.71
Aknyeo,Action,124,6.7,12.114
Geukhanjikeob,Action,111,7.1,6.313
Do-ga-ni,Drama,125,8.1,11.185
Jigeum mannareo gabmida,Drama,132,7.7,3.923
Eye for an Eye,Crime,101,6.2,13.433
Gon-ji-am,Horror,95,6.3,4.975
Flandersui gae,Comedy,110,7,6.249
The Closet,Horror,97,5.7,1.022
In-gan-jung-dok,Drama,132,6.1,1.116
Gongdong gyeongbi guyeok JSA,Action,110,7.8,26.322
Hyeob-sang,Action,114,6.6,2.232
Dodookdeul,Action,135,6.8,9.137
Sanglyusahoe,Drama,120,5.4,627
Sorido Eopsi,Crime,99,6.5,286
Sinsegye,Action,135,7.6,20.346
Cradle 2 the Grave,Action,101,5.8,41.159
Seom,Drama,90,7,12.791
The Sun Is Also a Star,Drama,100,5.8,6.012
